region,ci_value,strategy,task_id,server_age,duration_s,operational_g,embodied_g,total_carbon_g,power_w,energy_kwh,timestamp
Northern,535,operational_only,0,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060740
Northern,535,operational_only,1,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060748
Northern,535,operational_only,2,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060751
Northern,535,operational_only,3,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060753
Northern,535,operational_only,4,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060755
Northern,535,operational_only,5,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060756
Northern,535,operational_only,6,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060758
Northern,535,operational_only,7,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060759
Northern,535,operational_only,8,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060760
Northern,535,operational_only,9,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060762
Northern,535,operational_only,10,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060763
Northern,535,operational_only,11,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060764
Northern,535,operational_only,12,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060766
Northern,535,operational_only,13,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060767
Northern,535,operational_only,14,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060768
Northern,535,operational_only,15,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060769
Northern,535,operational_only,16,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060771
Northern,535,operational_only,17,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060772
Northern,535,operational_only,18,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060773
Northern,535,operational_only,19,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060774
Northern,535,operational_only,20,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060775
Northern,535,operational_only,21,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060776
Northern,535,operational_only,22,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060777
Northern,535,operational_only,23,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060778
Northern,535,operational_only,24,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060779
Northern,535,operational_only,25,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060780
Northern,535,operational_only,26,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060780
Northern,535,operational_only,27,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060781
Northern,535,operational_only,28,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060782
Northern,535,operational_only,29,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060783
Northern,535,operational_only,30,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060784
Northern,535,operational_only,31,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060785
Northern,535,operational_only,32,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060786
Northern,535,operational_only,33,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060787
Northern,535,operational_only,34,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060788
Northern,535,operational_only,35,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060789
Northern,535,operational_only,36,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060790
Northern,535,operational_only,37,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060791
Northern,535,operational_only,38,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060792
Northern,535,operational_only,39,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060794
Northern,535,operational_only,40,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060795
Northern,535,operational_only,41,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060796
Northern,535,operational_only,42,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060799
Northern,535,operational_only,43,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060801
Northern,535,operational_only,44,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060802
Northern,535,operational_only,45,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060803
Northern,535,operational_only,46,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060806
Northern,535,operational_only,47,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060807
Northern,535,operational_only,48,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060808
Northern,535,operational_only,49,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060813
Northern,535,operational_only,50,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060815
Northern,535,operational_only,51,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060816
Northern,535,operational_only,52,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060818
Northern,535,operational_only,53,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060819
Northern,535,operational_only,54,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060820
Northern,535,operational_only,55,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060821
Northern,535,operational_only,56,new,14400.0,176.93519999999998,54.20944558521561,231.14464558521559,68.9,0.2756,2025-11-09T22:15:32.060823
