region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,medium,2.0,0.006565,0.0,0.006565,120,True,748,0.5,93.6,task_000038,predictive_lr,api_request,0.4050940790448908,2025-11-09T10:43:48.086630
Eastern,medium,2.0,0.001898,0.0,0.001898,120,True,748,0.5,93.6,task_000039,predictive_lr,api_request,0.11708271174009718,2025-11-09T10:45:24.127814
Northern,medium,2.0,0.6929,0.0,0.6929,70,True,533,0.5,93.6,task_000040,predictive_lr,ml_inference,60.0,2025-11-09T10:50:57.835317
Northern,medium,2.0,0.512399,0.0,0.512399,70,True,533,0.5,93.6,task_000041,predictive_lr,ml_inference,44.36992949796479,2025-11-09T10:54:21.833481
Eastern,medium,2.0,0.006331,0.0,0.006331,120,True,748,0.5,93.6,task_000042,predictive_lr,api_request,0.39064038841619675,2025-11-09T10:54:51.111840
Eastern,medium,2.0,0.011863,0.0,0.011863,120,True,748,0.5,93.6,task_000043,predictive_lr,api_request,0.7319571293145478,2025-11-09T10:56:03.970789
Eastern,medium,2.0,0.18111,0.0,0.18111,120,True,748,0.5,93.6,task_000044,predictive_lr,data_processing,11.17505048325407,2025-11-09T10:56:31.426056
Northern,medium,2.0,5.844096,0.0,5.844096,70,True,533,0.5,93.6,task_000045,predictive_lr,scheduled_job,506.05534255102947,2025-11-09T10:58:19.632070
Northern,medium,2.0,1.96137,0.0,1.96137,70,True,533,0.5,93.6,task_000046,predictive_lr,scheduled_job,169.8400507468487,2025-11-09T11:01:16.201683
Eastern,medium,2.0,0.004342,0.0,0.004342,120,True,748,0.5,93.6,task_000047,predictive_lr,api_request,0.2678920859474691,2025-11-09T11:02:06.030186
Northern,medium,2.0,1.194067,0.0,1.194067,70,True,533,0.5,93.6,task_000048,predictive_lr,scheduled_job,103.39734847732711,2025-11-09T11:03:20.872765
Northern,medium,2.0,0.303064,0.0,0.303064,70,True,533,0.5,93.6,task_000049,predictive_lr,data_processing,26.243091575796413,2025-11-09T11:06:12.333320
Northern,medium,2.0,0.220179,0.0,0.220179,70,True,533,0.5,93.6,task_000050,predictive_lr,data_processing,19.06585595934237,2025-11-09T11:07:35.077124
Northern,medium,2.0,6.929,0.0,6.929,70,True,533,0.5,93.6,task_000051,predictive_lr,batch_analytics,600.0,2025-11-09T11:08:20.350935
Eastern,medium,2.0,0.129545,0.0,0.129545,120,True,748,0.5,93.6,task_000052,predictive_lr,data_processing,7.993340051027639,2025-11-09T11:13:54.391281
Northern,medium,2.0,3.611448,0.0,3.611448,70,True,533,0.5,93.6,task_000053,predictive_lr,scheduled_job,312.7246402218508,2025-11-09T11:17:34.251115
Northern,medium,2.0,0.558343,0.0,0.558343,70,True,533,0.5,93.6,task_000054,predictive_lr,data_processing,48.348363052061465,2025-11-09T11:17:49.737597
Northern,medium,2.0,0.6929,0.0,0.6929,70,True,533,0.5,93.6,task_000055,predictive_lr,ml_inference,60.0,2025-11-09T11:18:44.186312
Northern,medium,2.0,2.995079,0.0,2.995079,70,True,533,0.5,93.6,task_000056,predictive_lr,scheduled_job,259.3516397032166,2025-11-09T11:19:12.845249
Eastern,medium,2.0,0.004521,0.0,0.004521,120,True,748,0.5,93.6,task_000057,predictive_lr,api_request,0.278932543045797,2025-11-09T11:21:14.334980
Northern,medium,2.0,2.933605,0.0,2.933605,70,True,533,0.5,93.6,task_000058,predictive_lr,scheduled_job,254.02842314102267,2025-11-09T11:21:41.384135
Northern,medium,2.0,0.619642,0.0,0.619642,70,True,533,0.5,93.6,task_000059,predictive_lr,ml_inference,53.65644285427807,2025-11-09T11:22:48.987804
Eastern,medium,2.0,0.016207,0.0,0.016207,120,True,748,0.5,93.6,task_000060,predictive_lr,api_request,1.0,2025-11-09T11:25:30.358071
Northern,medium,2.0,0.19649,0.0,0.19649,70,True,533,0.5,93.6,task_000061,predictive_lr,data_processing,17.014547310288563,2025-11-09T11:26:02.759578
Eastern,medium,2.0,0.016207,0.0,0.016207,120,True,748,0.5,93.6,task_000062,predictive_lr,api_request,1.0,2025-11-09T11:28:00.266670
Eastern,medium,2.0,0.005888,0.0,0.005888,120,True,748,0.5,93.6,task_000063,predictive_lr,api_request,0.3632925947760828,2025-11-09T11:29:55.073707
Eastern,medium,2.0,0.011748,0.0,0.011748,120,True,748,0.5,93.6,task_000064,predictive_lr,api_request,0.724874855492782,2025-11-09T11:32:09.428720
Eastern,medium,2.0,0.009286,0.0,0.009286,120,True,748,0.5,93.6,task_000065,predictive_lr,api_request,0.5730023742216142,2025-11-09T11:33:45.971991
