region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,medium,2.5,0.007782,0.000847,0.008629,120,True,615.7,0.5,93.6,task_000038,balanced,api_request,0.4050940790448908,2025-11-09T10:43:48.086630
Eastern,medium,2.5,0.002249,0.000245,0.002494,120,True,615.7,0.5,93.6,task_000039,balanced,api_request,0.11708271174009718,2025-11-09T10:45:24.127814
Northern,medium,2.5,0.98879,0.125485,1.114275,70,True,528.2,0.5,93.6,task_000040,balanced,ml_inference,60.0,2025-11-09T10:50:57.835317
Northern,medium,2.5,0.731209,0.092796,0.824005,70,True,528.2,0.5,93.6,task_000041,balanced,ml_inference,44.36992949796479,2025-11-09T10:54:21.833481
Eastern,medium,2.5,0.007504,0.000817,0.008321,120,True,615.7,0.5,93.6,task_000042,balanced,api_request,0.39064038841619675,2025-11-09T10:54:51.111840
Eastern,medium,2.5,0.014061,0.001531,0.015592,120,True,615.7,0.5,93.6,task_000043,balanced,api_request,0.7319571293145478,2025-11-09T10:56:03.970789
Eastern,medium,2.5,0.214671,0.023372,0.238043,120,True,615.7,0.5,93.6,task_000044,balanced,data_processing,11.17505048325407,2025-11-09T10:56:31.426056
Northern,medium,2.5,8.339711,1.058371,9.398082,70,True,528.2,0.5,93.6,task_000045,balanced,scheduled_job,506.05534255102947,2025-11-09T10:58:19.632070
Northern,medium,2.5,2.798937,0.355206,3.154143,70,True,528.2,0.5,93.6,task_000046,balanced,scheduled_job,169.8400507468487,2025-11-09T11:01:16.201683
Eastern,medium,2.5,0.005146,0.00056,0.005706,120,True,615.7,0.5,93.6,task_000047,balanced,api_request,0.2678920859474691,2025-11-09T11:02:06.030186
Northern,medium,2.5,1.703972,0.216247,1.920218,70,True,528.2,0.5,93.6,task_000048,balanced,scheduled_job,103.39734847732711,2025-11-09T11:03:20.872765
Eastern,medium,2.5,0.504126,0.054885,0.559011,120,True,615.7,0.5,93.6,task_000049,balanced,data_processing,26.243091575796413,2025-11-09T11:06:12.333320
Eastern,medium,2.5,0.366252,0.039875,0.406127,120,True,615.7,0.5,93.6,task_000050,balanced,data_processing,19.06585595934237,2025-11-09T11:07:35.077124
Northern,medium,2.5,9.887904,1.254848,11.142752,70,True,528.2,0.5,93.6,task_000051,balanced,batch_analytics,600.0,2025-11-09T11:08:20.350935
Eastern,medium,2.5,0.153551,0.016717,0.170268,120,True,615.7,0.5,93.6,task_000052,balanced,data_processing,7.993340051027639,2025-11-09T11:13:54.391281
Northern,medium,2.5,5.153652,0.654037,5.807689,70,True,528.2,0.5,93.6,task_000053,balanced,scheduled_job,312.7246402218508,2025-11-09T11:17:34.251115
Northern,medium,2.5,0.796773,0.101116,0.89789,70,True,528.2,0.5,93.6,task_000054,balanced,data_processing,48.348363052061465,2025-11-09T11:17:49.737597
Northern,medium,2.5,0.98879,0.125485,1.114275,70,True,528.2,0.5,93.6,task_000055,balanced,ml_inference,60.0,2025-11-09T11:18:44.186312
Northern,medium,2.5,4.274074,0.542412,4.816485,70,True,528.2,0.5,93.6,task_000056,balanced,scheduled_job,259.3516397032166,2025-11-09T11:19:12.845249
Eastern,medium,2.5,0.005358,0.000583,0.005942,120,True,615.7,0.5,93.6,task_000057,balanced,api_request,0.278932543045797,2025-11-09T11:21:14.334980
Northern,medium,2.5,4.186348,0.531279,4.717626,70,True,528.2,0.5,93.6,task_000058,balanced,scheduled_job,254.02842314102267,2025-11-09T11:21:41.384135
Northern,medium,2.5,0.88425,0.112218,0.996467,70,True,528.2,0.5,93.6,task_000059,balanced,ml_inference,53.65644285427807,2025-11-09T11:22:48.987804
Eastern,medium,2.5,0.01921,0.002091,0.021301,120,True,615.7,0.5,93.6,task_000060,balanced,api_request,1.0,2025-11-09T11:25:30.358071
Eastern,medium,2.5,0.326847,0.035584,0.362431,120,True,615.7,0.5,93.6,task_000061,balanced,data_processing,17.014547310288563,2025-11-09T11:26:02.759578
Eastern,medium,2.5,0.01921,0.002091,0.021301,120,True,615.7,0.5,93.6,task_000062,balanced,api_request,1.0,2025-11-09T11:28:00.266670
Eastern,medium,2.5,0.006979,0.00076,0.007739,120,True,615.7,0.5,93.6,task_000063,balanced,api_request,0.3632925947760828,2025-11-09T11:29:55.073707
Eastern,medium,2.5,0.013925,0.001516,0.015441,120,True,615.7,0.5,93.6,task_000064,balanced,api_request,0.724874855492782,2025-11-09T11:32:09.428720
Eastern,medium,2.5,0.011007,0.001198,0.012206,120,True,615.7,0.5,93.6,task_000065,balanced,api_request,0.5730023742216142,2025-11-09T11:33:45.971991
Eastern,medium,2.5,0.005195,0.000566,0.005761,120,True,615.7,0.5,93.6,task_000066,balanced,api_request,0.2704525011563637,2025-11-09T11:33:54.166155
Eastern,medium,2.5,0.171746,0.018698,0.190445,120,True,615.7,0.5,93.6,task_000067,balanced,data_processing,8.940534512440573,2025-11-09T11:38:01.207566
Northern,medium,2.5,0.815979,0.103554,0.919532,70,True,528.2,0.5,93.6,task_000068,balanced,ml_inference,49.51374662027173,2025-11-09T11:47:34.056777
Eastern,medium,2.5,0.01921,0.002091,0.021301,120,True,615.7,0.5,93.6,task_000069,balanced,api_request,1.0,2025-11-09T11:50:24.246896
Eastern,medium,2.5,0.496176,0.05402,0.550195,120,True,615.7,0.5,93.6,task_000070,balanced,ml_inference,25.82925065730994,2025-11-09T11:50:26.225428
Eastern,medium,2.5,0.352338,0.03836,0.390697,120,True,615.7,0.5,93.6,task_000071,balanced,data_processing,18.341514431527333,2025-11-09T11:53:06.062384
Eastern,medium,2.5,0.002767,0.000301,0.003069,120,True,615.7,0.5,93.6,task_000072,balanced,api_request,0.14406594882830376,2025-11-09T11:54:47.658766
