region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Northern,medium,2.0,0.68666,0.0,0.68666,70,True,533,0.5,93.6,task_000040,baseline,ml_inference,60.0,2025-11-09T10:50:57.835317
Northern,medium,2.0,0.507784,0.0,0.507784,70,True,533,0.5,93.6,task_000041,baseline,ml_inference,44.36992949796479,2025-11-09T10:54:21.833481
Northern,medium,2.0,0.004471,0.0,0.004471,70,True,533,0.5,93.6,task_000042,baseline,api_request,0.39064038841619675,2025-11-09T10:54:51.111840
Northern,medium,2.0,0.008377,0.0,0.008377,70,True,533,0.5,93.6,task_000043,baseline,api_request,0.7319571293145478,2025-11-09T10:56:03.970789
Northern,medium,2.0,0.127891,0.0,0.127891,70,True,533,0.5,93.6,task_000044,baseline,data_processing,11.17505048325407,2025-11-09T10:56:31.426056
Northern,medium,2.0,5.791466,0.0,5.791466,70,True,533,0.5,93.6,task_000045,baseline,scheduled_job,506.05534255102947,2025-11-09T10:58:19.632070
Northern,medium,2.0,1.943706,0.0,1.943706,70,True,533,0.5,93.6,task_000046,baseline,scheduled_job,169.8400507468487,2025-11-09T11:01:16.201683
Northern,medium,2.0,0.003066,0.0,0.003066,70,True,533,0.5,93.6,task_000047,baseline,api_request,0.2678920859474691,2025-11-09T11:02:06.030186
Northern,medium,2.0,1.183314,0.0,1.183314,70,True,533,0.5,93.6,task_000048,baseline,scheduled_job,103.39734847732711,2025-11-09T11:03:20.872765
Northern,medium,2.0,0.300335,0.0,0.300335,70,True,533,0.5,93.6,task_000049,baseline,data_processing,26.243091575796413,2025-11-09T11:06:12.333320
Northern,medium,2.0,0.218196,0.0,0.218196,70,True,533,0.5,93.6,task_000050,baseline,data_processing,19.06585595934237,2025-11-09T11:07:35.077124
Northern,medium,2.0,6.8666,0.0,6.8666,70,True,533,0.5,93.6,task_000051,baseline,batch_analytics,600.0,2025-11-09T11:08:20.350935
Northern,medium,2.0,0.091478,0.0,0.091478,70,True,533,0.5,93.6,task_000052,baseline,data_processing,7.993340051027639,2025-11-09T11:13:54.391281
Northern,medium,2.0,3.578925,0.0,3.578925,70,True,533,0.5,93.6,task_000053,baseline,scheduled_job,312.7246402218508,2025-11-09T11:17:34.251115
Northern,medium,2.0,0.553315,0.0,0.553315,70,True,533,0.5,93.6,task_000054,baseline,data_processing,48.348363052061465,2025-11-09T11:17:49.737597
Northern,medium,2.0,0.68666,0.0,0.68666,70,True,533,0.5,93.6,task_000055,baseline,ml_inference,60.0,2025-11-09T11:18:44.186312
Northern,medium,2.0,2.968107,0.0,2.968107,70,True,533,0.5,93.6,task_000056,baseline,scheduled_job,259.3516397032166,2025-11-09T11:19:12.845249
Northern,medium,2.0,0.003192,0.0,0.003192,70,True,533,0.5,93.6,task_000057,baseline,api_request,0.278932543045797,2025-11-09T11:21:14.334980
Northern,medium,2.0,2.907186,0.0,2.907186,70,True,533,0.5,93.6,task_000058,baseline,scheduled_job,254.02842314102267,2025-11-09T11:21:41.384135
Northern,medium,2.0,0.614062,0.0,0.614062,70,True,533,0.5,93.6,task_000059,baseline,ml_inference,53.65644285427807,2025-11-09T11:22:48.987804
Northern,medium,2.0,0.011444,0.0,0.011444,70,True,533,0.5,93.6,task_000060,baseline,api_request,1.0,2025-11-09T11:25:30.358071
Northern,medium,2.0,0.19472,0.0,0.19472,70,True,533,0.5,93.6,task_000061,baseline,data_processing,17.014547310288563,2025-11-09T11:26:02.759578
Northern,medium,2.0,0.011444,0.0,0.011444,70,True,533,0.5,93.6,task_000062,baseline,api_request,1.0,2025-11-09T11:28:00.266670
Northern,medium,2.0,0.004158,0.0,0.004158,70,True,533,0.5,93.6,task_000063,baseline,api_request,0.3632925947760828,2025-11-09T11:29:55.073707
Northern,medium,2.0,0.008296,0.0,0.008296,70,True,533,0.5,93.6,task_000064,baseline,api_request,0.724874855492782,2025-11-09T11:32:09.428720
Northern,medium,2.0,0.006558,0.0,0.006558,70,True,533,0.5,93.6,task_000065,baseline,api_request,0.5730023742216142,2025-11-09T11:33:45.971991
Northern,medium,2.0,0.003095,0.0,0.003095,70,True,533,0.5,93.6,task_000066,baseline,api_request,0.2704525011563637,2025-11-09T11:33:54.166155
Northern,medium,2.0,0.102318,0.0,0.102318,70,True,533,0.5,93.6,task_000067,baseline,data_processing,8.940534512440573,2025-11-09T11:38:01.207566
Northern,medium,2.0,0.566652,0.0,0.566652,70,True,533,0.5,93.6,task_000068,baseline,ml_inference,49.51374662027173,2025-11-09T11:47:34.056777
Northern,medium,2.0,0.011444,0.0,0.011444,70,True,533,0.5,93.6,task_000069,baseline,api_request,1.0,2025-11-09T11:50:24.246896
Northern,medium,2.0,0.295599,0.0,0.295599,70,True,533,0.5,93.6,task_000070,baseline,ml_inference,25.82925065730994,2025-11-09T11:50:26.225428
Northern,medium,2.0,0.209906,0.0,0.209906,70,True,533,0.5,93.6,task_000071,baseline,data_processing,18.341514431527333,2025-11-09T11:53:06.062384
Northern,medium,2.0,0.001649,0.0,0.001649,70,True,533,0.5,93.6,task_000072,baseline,api_request,0.14406594882830376,2025-11-09T11:54:47.658766
