strategy1,strategy2,metric,mean1,mean2,std1,std2,difference,difference_pct,t_statistic,t_pvalue,mannwhitney_u,mannwhitney_pvalue,cohens_d,effect_size,statistically_significant,interpretation
baseline,reactive,total_co2_g,0.553970062,0.5636486089999999,1.2763381178959046,1.273803326136324,-0.009678546999999926,-1.747124558510876,-0.1697308074813605,0.8652390276222741,479666.0,0.11532454939096225,-0.007590592468085039,small,False,"baseline vs reactive: NOT SIGNIFICANT difference (small effect size, p=0.8652)"
baseline,predictive_lr,total_co2_g,0.553970062,0.5646429829999999,1.2763381178959046,1.2859306192892417,-0.010672920999999946,-1.9266241503137307,-0.18628186251560763,0.8522426408048902,468230.0,0.01388222185905262,-0.008330778151203373,small,False,"baseline vs predictive_lr: NOT SIGNIFICANT difference (small effect size, p=0.8522)"
baseline,embodied_prioritized,total_co2_g,0.553970062,1.1289911860000001,1.2763381178959046,2.558991568622684,-0.5750211240000002,-103.80003603877066,-6.358784952666387,2.513186351304707e-10,384681.0,4.240638753410163e-19,-0.2843735081692965,small,True,"baseline vs embodied_prioritized: SIGNIFICANT difference (small effect size, p=0.0000)"
baseline,balanced,total_co2_g,0.553970062,0.917630319,1.2763381178959046,2.06701029675034,-0.36366025700000004,-65.64619316918971,-4.733823261431388,2.357984328490812e-06,411824.5,8.583295319377071e-12,-0.21170301212060688,small,True,"baseline vs balanced: SIGNIFICANT difference (small effect size, p=0.0000)"
baseline,operational_only,total_co2_g,0.553970062,0.9615647669999998,1.2763381178959046,2.1899394012335276,-0.40759470499999984,-73.57702752536109,-5.0850618595820025,4.0182710927814597e-07,410192.5,3.5295682935690376e-12,-0.22741087975633703,small,True,"baseline vs operational_only: SIGNIFICANT difference (small effect size, p=0.0000)"
reactive,predictive_lr,total_co2_g,0.5636486089999999,0.5646429829999999,1.273803326136324,1.2859306192892417,-0.00099437400000002,-0.17641736076741038,-0.017372609440893697,0.9861410949119572,487923.5,0.3496900092932773,-0.0007769267131278585,small,False,"reactive vs predictive_lr: NOT SIGNIFICANT difference (small effect size, p=0.9861)"
reactive,embodied_prioritized,total_co2_g,0.5636486089999999,1.1289911860000001,1.273803326136324,2.558991568622684,-0.5653425770000002,-100.30053618033506,-6.254228579860441,4.872359056940197e-10,397899.5,2.640090115073184e-15,-0.2796976050277984,small,True,"reactive vs embodied_prioritized: SIGNIFICANT difference (small effect size, p=0.0000)"
reactive,balanced,total_co2_g,0.5636486089999999,0.917630319,1.273803326136324,2.06701029675034,-0.3539817100000001,-62.801842202364085,-4.610361670026106,4.273950382354264e-06,427008.0,1.5802528530201826e-08,-0.20618164190075655,small,True,"reactive vs balanced: SIGNIFICANT difference (small effect size, p=0.0000)"
reactive,operational_only,total_co2_g,0.5636486089999999,0.9615647669999998,1.273803326136324,2.1899394012335276,-0.3979161579999999,-70.59649427787375,-4.966813625792542,7.384632764629581e-07,425218.0,6.987029703565014e-09,-0.2221226579768866,small,True,"reactive vs operational_only: SIGNIFICANT difference (small effect size, p=0.0000)"
predictive_lr,embodied_prioritized,total_co2_g,0.5646429829999999,1.1289911860000001,1.2859306192892417,2.558991568622684,-0.5643482030000002,-99.9477935600238,-6.231402399074739,5.622468242400738e-10,406907.5,5.626522692392571e-13,-0.2786767871897278,small,True,"predictive_lr vs embodied_prioritized: SIGNIFICANT difference (small effect size, p=0.0000)"
predictive_lr,balanced,total_co2_g,0.5646429829999999,0.917630319,1.2859306192892417,2.06701029675034,-0.3529873360000001,-62.51513728631603,-4.585353650546005,4.812793104386063e-06,436597.0,9.106597161485899e-07,-0.20506324926995367,small,True,"predictive_lr vs balanced: SIGNIFICANT difference (small effect size, p=0.0000)"
predictive_lr,operational_only,total_co2_g,0.5646429829999999,0.9615647669999998,1.2859306192892417,2.1899394012335276,-0.3969217839999999,-70.29606245899276,-4.94246408969901,8.356989970171383e-07,434727.0,4.3075366205187946e-07,-0.22103371361837215,small,True,"predictive_lr vs operational_only: SIGNIFICANT difference (small effect size, p=0.0000)"
embodied_prioritized,balanced,total_co2_g,1.1289911860000001,0.917630319,2.558991568622684,2.06701029675034,0.21136086700000012,18.721214976783713,2.0318493154925195,0.04230098345887786,533571.0,0.009328630255043704,0.09086706378955381,small,True,"embodied_prioritized vs balanced: SIGNIFICANT difference (small effect size, p=0.0423)"
embodied_prioritized,operational_only,total_co2_g,1.1289911860000001,0.9615647669999998,2.558991568622684,2.1899394012335276,0.16742641900000033,14.82973658928107,1.5719389121779788,0.11612305202584454,531984.5,0.013252607117922723,0.07029924528214067,small,False,"embodied_prioritized vs operational_only: NOT SIGNIFICANT difference (small effect size, p=0.1161)"
balanced,operational_only,total_co2_g,0.917630319,0.9615647669999998,2.06701029675034,2.1899394012335276,-0.04393444799999979,-4.7878156475777685,-0.4613607566814511,0.6445900221490846,495330.5,0.7176680495937428,-0.020632680281809306,small,False,"balanced vs operational_only: NOT SIGNIFICANT difference (small effect size, p=0.6446)"
