region,mean_duration,std_duration,mean_cpu_time,mean_efficiency
Eastern,0.03869830508474576,0.021613809225572923,0.038513559322033895,1.0021723150881052
Northern,0.03849047619047619,0.021546182314977066,0.03841904761904762,1.0192911150929498
Southern,0.02885,0.0020506096654409876,0.023399999999999997,0.7995230179952302
Western,0.0257,,0.0312,1.2140077821011672
