duration_s,duration_min,duration_hours,strategy,total_g,operational_g,embodied_g,embodied_pct,power_w,server_age,samples,std_total_g
14400,240.0,4.0,operational_only,229.358758,175.149312,54.209446,23.63521954544243,68.9,0.5,5,0.0
14400,240.0,4.0,embodied_prioritized,256.594639,244.548096,12.046543,4.6947757938153964,96.2,4.0,5,0.0
14400,240.0,4.0,balanced,229.358758,175.149312,54.209446,23.63521954544243,68.9,0.5,5,0.0
28800,480.0,8.0,operational_only,458.717515,350.298624,108.418891,23.635219378967903,68.9,0.5,5,0.0
28800,480.0,8.0,embodied_prioritized,513.189279,489.096192,24.093087,4.694775979527039,96.2,4.0,5,0.0
28800,480.0,8.0,balanced,458.717515,350.298624,108.418891,23.635219378967903,68.9,0.5,5,0.0
86400,1440.0,24.0,operational_only,1376.152546,1050.895872,325.256674,23.635219434459408,68.9,0.5,5,0.0
86400,1440.0,24.0,embodied_prioritized,1539.567837,1467.288576,72.279261,4.69477597952704,96.2,4.0,5,0.0
86400,1440.0,24.0,balanced,1376.152546,1050.895872,325.256674,23.635219434459408,68.9,0.5,5,0.0
