timestamp,region,duration_s,cpu_time_s,workload_scale,energy_kwh,co2_g
2025-11-08T16:55:48.790580,Southern,0.0274,0.0156,300000,4.9e-07,0.000327
2025-11-08T16:56:36.308416,Northern,0.0322,0.0312,300000,5.8e-07,0.000359
2025-11-08T16:56:47.915287,Southern,0.0303,0.0312,300000,5.5e-07,0.000361
2025-11-08T16:57:47.407897,Eastern,0.0252,0.0312,300000,4.5e-07,0.000318
2025-11-08T16:57:55.646199,Western,0.0257,0.0312,300000,4.6e-07,0.000375
